X,Y,OBJECTID,Name,Street_number,Street,Street_extra,Suburb,Postcode
16832238.5386451,-4015293.23618123,92,Waterloo Library,770,Elizabeth Street,,Waterloo,2017
16829826.8550488,-4012428.41556467,93,Glebe Library,186,Glebe Point Road,,Glebe,2037
16834126.1088776,-4011903.44540775,94,Kings Cross Library,50-52,Darlinghurst Road,Level 1,Potts Point,2011
16829587.6924427,-4014757.41517725,95,Newtown Library,8-10,Brown Street,,Newtown,2042
16833027.9371129,-4013502.37396759,96,Surry Hills Library,405,Crown Street,,Surry Hills,2010
16832096.1136847,-4011759.60652707,97,Town Hall Library Express,456,"Kent Street, Sydney","Level 1, Town Hall House",Sydney,2000
16831914.202983,-4016261.55688421,98,Green Square Library,355,Botany Road,,Zetland,2017
16830740.3900794,-4011202.00767396,99,Pyrmont Link,87-89,Harris Street,Maybanke Community Centre,Pyrmont,2009
16832714.1601354,-4010319.48043098,100,Customs House Library,31,Alfred Street,,Sydney,2000
16831274.4143123,-4012424.11372435,101,Ultimo Library,40,William Henry Street,"Level 1, Ultimo Community Centre",Ultimo,2007
16831748.5486825,-4012423.89655085,105,Darling Square Library,1,Little Pier Street,Level 1 and 2,Haymarket,2000
